cell_id,state,ahj,project_family,family,issuing_authority,application_authority,authority_tier,handled_by_local_ahj
us-ak-anchorage__commercial__commercial_tenant_improvement__building,AK,Anchorage,commercial_tenant_improvement,building,Municipality of Anchorage Development Services,Municipality of Anchorage Development Services,local,True
us-ak-angoon__commercial__commercial_tenant_improvement__building,AK,Angoon,commercial_tenant_improvement,building,Alaska State Fire Marshal’s Office Plan Review Bureau,Alaska State Fire Marshal’s Office Plan Review Bureau,local,True
us-ak-bethel__commercial__commercial_tenant_improvement__building,AK,Bethel,commercial_tenant_improvement,building,"Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau","Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau",state_administered,True
us-ak-bristol_bay_borough__commercial__commercial_tenant_improvement__building,AK,Bristol Bay Borough,commercial_tenant_improvement,building,"Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau","Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau",state_administered,True
us-ak-coffman_cove__commercial__commercial_tenant_improvement__building,AK,Coffman Cove,commercial_tenant_improvement,building,Alaska State Fire Marshal’s Office Plan Review Bureau,Alaska State Fire Marshal’s Office Plan Review Bureau,local,True
us-ak-denali_borough__commercial__commercial_tenant_improvement__building,AK,Denali Borough,commercial_tenant_improvement,building,"Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau",Alaska State Fire Marshal Plan Review Bureau / Alaska DOLWD Mechanical Inspection / Denali Borough Land Management,state_administered_plus_local_zoning,True
us-ak-dillingham__commercial__commercial_tenant_improvement__building,AK,Dillingham,commercial_tenant_improvement,building,"Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau","Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau",state_administered,True
us-ak-fairbanks_city__commercial__commercial_tenant_improvement__building,AK,Fairbanks City,commercial_tenant_improvement,building,City of Fairbanks Building Department,City of Fairbanks Building Department,local,True
us-ak-fairbanks_north_star_borough__commercial__commercial_tenant_improvement__building,AK,Fairbanks North Star Borough,commercial_tenant_improvement,building,"Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau","Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau",state_administered,True
us-ak-haines_borough__commercial__commercial_tenant_improvement__building,AK,Haines Borough,commercial_tenant_improvement,building,"Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau with Haines Borough land-use and utility permitting evidence","Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau; Haines Borough Planning/Zoning and water/sewer utilities for local land-use/utility lanes",state_administered_building_plan_review_with_local_zoning_and_utility_controls,True
