project_family,strict_classification,permit_family_depth,authority_family_depth,cell_count
commercial_tenant_improvement,EXACT_PARTIAL,1,1,1776
commercial_tenant_improvement,EXACT_PARTIAL,2,2,79
commercial_tenant_improvement,EXACT_PARTIAL,3,3,13
commercial_tenant_improvement,EXACT_PARTIAL,4,4,17
commercial_tenant_improvement,EXACT_PARTIAL,5,5,16
commercial_tenant_improvement,EXACT_PARTIAL,6,6,7
commercial_tenant_improvement,EXACT_PARTIAL,7,7,29
commercial_tenant_improvement,FAIL_CLOSED,0,0,1
reroof,EXACT_COMPLETE,1,1,24
reroof,FAIL_CLOSED,0,0,1
residential_remodel,EXACT_COMPLETE,4,4,6
residential_remodel,EXACT_COMPLETE,5,5,5
residential_remodel,EXACT_COMPLETE,7,7,1
residential_remodel,EXACT_PARTIAL,1,1,142
residential_remodel,EXACT_PARTIAL,1,2,4
residential_remodel,EXACT_PARTIAL,1,3,1
residential_remodel,EXACT_PARTIAL,1,4,1
residential_remodel,EXACT_PARTIAL,2,2,3
residential_remodel,EXACT_PARTIAL,3,3,3
residential_remodel,EXACT_PARTIAL,4,4,1
residential_remodel,FAIL_CLOSED,0,0,32
