state,jurisdiction_id,ahj,cell_count,project_families,strict_classifications,source_statuses
AK,us-ak-anchorage,Anchorage,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-angoon,Angoon,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-bethel,Bethel,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-bristol_bay_borough,Bristol Bay Borough,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-coffman_cove,Coffman Cove,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-denali_borough,Denali Borough,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-dillingham,Dillingham,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-fairbanks_city,Fairbanks City,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-fairbanks_north_star_borough,Fairbanks North Star Borough,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-haines_borough,Haines Borough,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-homer,Homer,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-juneau,Juneau,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-kake,Kake,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-kenai,Kenai,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-kenai_peninsula_borough,Kenai Peninsula Borough,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-ketchikan_city,Ketchikan City,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-ketchikan_gateway_borough,Ketchikan Gateway Borough,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-kodiak_city,Kodiak City,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-kodiak_island_borough,Kodiak Island Borough,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-kotzebue,Kotzebue,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-lake_and_peninsula_borough,Lake And Peninsula Borough,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-matanuska_susitna_borough,Matanuska Susitna Borough,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-north_slope_borough,North Slope Borough,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-northwest_arctic_borough,Northwest Arctic Borough,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-palmer,Palmer,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-pelican,Pelican,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-petersburg_borough,Petersburg Borough,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-sitka,Sitka,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-soldotna,Soldotna,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-unalaska,Unalaska,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-wasilla,Wasilla,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AK,us-ak-yakutat,Yakutat,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-alabaster,Alabaster,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-albertville,Albertville,1,residential_remodel,EXACT_COMPLETE,PUBLISHABLE
AL,us-al-andalusia,Andalusia,1,residential_remodel,EXACT_COMPLETE,PUBLISHABLE
AL,us-al-anniston,Anniston,1,residential_remodel,EXACT_COMPLETE,PUBLISHABLE
AL,us-al-auburn,Auburn,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-baldwin_county,Baldwin County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-bessemer,Bessemer,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-birmingham,Birmingham,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-boaz,Boaz,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-daphne,Daphne,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-decatur,Decatur,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-dothan,Dothan,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-enterprise,Enterprise,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-fairhope,Fairhope,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-florence,Florence,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-fultondale,Fultondale,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-gadsden,Gadsden,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-gardendale,Gardendale,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-gulf_shores,Gulf Shores,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-hartselle,Hartselle,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
